original_index,question,cypher,typeql,review_reason
174,List the top 3 movies released in the United States of America.,"MATCH (m:Movie)-[:PRODUCED_IN_COUNTRY]->(:Country {name: 'United States of America'}) RETURN m.title, m.release_date, m.popularity ORDER BY m.popularity DESC LIMIT 3","match $m isa movie; $country isa country, has country_name 'United States of America'; (media: $m, country: $country) isa produced_in_country; $m has title $title; $m has release_date $release_date; $m has popularity $popularity; sort $popularity desc; limit 3; fetch { ""title"": $title, ""release_date"": $release_date, ""popularity"": $popularity };",Missing relation to filter by country 'United States of America'
178,What are the first 5 movies rated by user with ID 1?,"MATCH (u:User {id: 1})-[r:RATED]->(m:Movie) RETURN m.title, r.rating ORDER BY r.timestamp LIMIT 5","match $u isa user, has user_id 1; $m isa movie; $r (reviewer: $u, rated_media: $m) isa rated, has rating $rating; $m has title $title_m; limit 5; fetch { ""title"": $title_m, ""rating"": $rating };",Missing sort by timestamp
180,Which 3 highest budget movies were released after 2000?,"MATCH (m:Movie) WHERE m.release_date > date('2000-01-01') AND m.budget IS NOT NULL RETURN m.title, m.budget ORDER BY m.budget DESC LIMIT 3","match $m isa movie; $m has release_date $release_date; $m has budget $budget; $m has title $title; sort $budget desc; limit 3; fetch { ""title"": $title, ""budget"": $budget };
  $release_date >= 2000-01-01;",Missing date filter for after 2000
183,List the first 3 movies directed by a person with gender 2.,MATCH (p:Person {gender: 2})-[:CREW_FOR {job: 'Director'}]->(m:Movie) RETURN m.title LIMIT 3,"match $p isa person, has gender 2; $m isa movie; $rel0 (crew_member: $p, film: $m) isa crew_for, has job ""Director""; $m has title $title_m; limit 3; fetch { ""title"": $title_m };",Missing filter for job = 'Director'
191,What are the top 5 movies that premiered in the last quarter of any year?,"MATCH (m:Movie) WHERE m.release_date IS NOT NULL AND m.release_date.month >= 10 RETURN m.title, m.release_date ORDER BY m.popularity DESC LIMIT 5","match $m isa movie; $m has release_date $release_date; $m has title $title; $m has popularity $popularity; sort $popularity desc; limit 5; fetch { ""title"": $title, ""release_date"": $release_date };",Missing filter for month >= 10 (last quarter)
192,Find the first 3 movies that feature both English and Spanish languages.,MATCH (m:Movie)-[:SPOKEN_IN_LANGUAGE]->(l1:Language {name: 'English'}) WHERE EXISTS { (m)-[:SPOKEN_IN_LANGUAGE]->(:Language {name: 'Spanish'}) } RETURN m.title LIMIT 3,"match $m isa movie; $l1 isa language, has language_name 'English'; $rel0 (media: $m, language: $l1) isa spoken_in_language; $m has title $title_m; limit 3; fetch { ""title"": $title_m };",Missing EXISTS check for Spanish language
195,What are the top 5 movies with a tagline containing the word 'adventure'?,"MATCH (m:Movie) WHERE toLower(m.tagline) CONTAINS 'adventure' RETURN m.title, m.tagline ORDER BY m.popularity DESC LIMIT 5","match $m isa movie; $m has tagline $tagline; $m has title $title; $m has popularity $popularity; sort $popularity desc; limit 5; fetch { ""title"": $title, ""tagline"": $tagline };",Missing CONTAINS filter for 'adventure'
197,Show the first 5 movies that were originally titled differently from their English title.,"MATCH (m:Movie) WHERE m.title <> m.original_title RETURN m.title AS title, m.original_title AS original_title LIMIT 5","match $m isa movie; $m has title $title; $m has original_title $original_title; limit 5; fetch { ""title"": $title, ""original_title"": $original_title };",Missing filter for title != original_title
199,What are the first 5 movies that have no revenue recorded?,MATCH (m:Movie) WHERE m.revenue IS NULL RETURN m.title LIMIT 5,"match $m isa movie; $m has revenue $revenue; $m has title $title; limit 5; fetch { ""title"": $title };",Logic error - having revenue attribute means revenue IS NOT NULL
201,Show the top 3 movies that have been reviewed most recently by any user.,"MATCH (m:Movie)<-[r:RATED]-(u:User) RETURN m.title AS movie, r.timestamp AS reviewedAt ORDER BY r.timestamp DESC LIMIT 3","match $m isa movie; $u isa user; $r (rated_media: $m, reviewer: $u) isa rated, has timestamp $timestamp; $m has title $title_m; limit 3; fetch { ""movie"": $title_m, ""reviewedAt"": $timestamp };",Missing sort by timestamp desc
217,What are the first 5 movies with a release date on a weekend?,"MATCH (m:Movie) WHERE date(m.release_date).dayOfWeek IN [5, 6, 7] RETURN m.title, m.release_date ORDER BY m.release_date LIMIT 5","match $m isa movie; $m has release_date $release_date; $m has title $title; sort $release_date asc; limit 5; fetch { ""title"": $title, ""release_date"": $release_date };",Missing weekend day filter
223,Show the first 5 movies that have a character named 'Charlie Wilson' in their cast.,MATCH (m:Movie)<-[:CAST_FOR]-(p:Person) WHERE p.name = 'Tom Hanks' AND exists{ (p)-[:CAST_FOR {character: 'Charlie Wilson'}]->(m) } RETURN m.title LIMIT 5,"match $m isa movie; $p isa person; $rel0 (actor: $p, film: $m) isa cast_for; $rel1 (film: $m, actor: $p) isa cast_for; $m has title $title_m; $p has person_name $person_name_p; $person_name_p == ""Tom Hanks""; limit 5; fetch { ""title"": $title_m };",Wrong filter - should filter by character 'Charlie Wilson' not person name 'Tom Hanks'
229,What are the top 5 movies that have undergone a title change after release?,"MATCH (m:Movie) WHERE m.title <> m.original_title RETURN m.title AS title, m.original_title AS original_title ORDER BY m.popularity DESC LIMIT 5","match $m isa movie; $m has title $title; $m has original_title $original_title; $m has popularity $popularity; sort $popularity desc; limit 5; fetch { ""title"": $title, ""original_title"": $original_title };",Missing filter for title != original_title
230,Which 3 movies have the highest discrepancy between budget and revenue?,"MATCH (m:Movie) WHERE m.budget IS NOT NULL AND m.revenue IS NOT NULL RETURN m.title, m.budget, m.revenue, m.revenue - m.budget AS profit ORDER BY profit DESC LIMIT 3","match $m isa movie; $m has budget $budget; $m has revenue $revenue; $m has title $title; limit 3; fetch { ""title"": $title, ""profit"": $budget, ""revenue"": $revenue };",Missing profit calculation and sorting; returns budget as profit which is incorrect
231,Show the first 5 movies where the original language is not English but have English as a spoken language.,MATCH (m:Movie)-[:ORIGINAL_LANGUAGE]->(ol:Language) WHERE ol.name <> 'English' AND EXISTS { (m)-[:SPOKEN_IN_LANGUAGE]->(:Language {name: 'English'}) } RETURN m.title LIMIT 5,"match $m isa movie; $ol isa language; $rel0 (media: $m, language: $ol) isa original_language; $m has title $title_m; $ol has language_name $language_name_ol; limit 5; fetch { ""title"": $title_m };",Missing filters for original language != English AND spoken language includes English
232,List the top 3 highest grossing movies in the genre 'Action'.,"MATCH (m:Movie)-[:IN_GENRE]->(:Genre {name: 'Action'}) RETURN m.title, m.revenue ORDER BY m.revenue DESC LIMIT 3","match $m isa movie; $m has title $title; $m has revenue $revenue; sort $revenue desc; limit 3; fetch { ""title"": $title, ""revenue"": $revenue };
  $genre isa genre, has genre_name 'Action';
  (media: $m, genre: $genre) isa in_genre;",Missing relation to filter by genre 'Action'
233,What are the first 5 movies that have a character played by a person with gender 1?,MATCH (p:Person)-[c:CAST_FOR]->(m:Movie) WHERE p.gender = 1 RETURN m.title LIMIT 5,"match $p isa person; $m isa movie; $c (actor: $p, film: $m) isa cast_for; $p has gender $gender_p; $m has title $title_m; limit 5; fetch { ""title"": $title_m };
  $gender_p == 1;",Missing filter for gender = 1
240,Which 3 adult films have been released during a leap year?,MATCH (a:Adult) WHERE a.release_date IS NOT NULL AND date(a.release_date).year % 4 = 0 AND date(a.release_date).month = 2 AND date(a.release_date).day = 29 RETURN a.title LIMIT 3,"match $a isa adult; $a has release_date $release_date; $a has title $title; limit 3; fetch { ""title"": $title };",Missing leap year date filter
244,Which 3 adult films have the lowest average votes but were produced in 'United States of America'?,"MATCH (a:Adult)-[:PRODUCED_IN_COUNTRY]->(:Country {name: 'United States of America'}) RETURN a.title, a.average_vote ORDER BY a.average_vote LIMIT 3","match $a isa adult; $country isa country, has country_name 'United States of America'; (media: $a, country: $country) isa produced_in_country; $a has title $title; $a has average_vote $average_vote; sort $average_vote asc; limit 3; fetch { ""title"": $title, ""average_vote"": $average_vote };",Missing relation to filter by country 'United States of America'
245,Show the first 5 adult films based on their IMDB ID starting with 'tt007'.,"MATCH (a:Adult) WHERE a.imdb_id STARTS WITH 'tt007' RETURN a.title, a.imdb_id ORDER BY a.imdb_id LIMIT 5","match $a isa adult; $a has imdb_id $imdb_id; $a has title $title; sort $imdb_id asc; limit 5; fetch { ""title"": $title, ""imdb_id"": $imdb_id };",Missing STARTS WITH filter for 'tt007'
248,List the first 3 movies released after 2010.,"MATCH (m:Movie) WHERE m.release_date > date('2010-01-01') RETURN m.title, m.release_date ORDER BY m.release_date LIMIT 3","match $m isa movie; $m has release_date $release_date; $m has title $title; sort $release_date asc; limit 3; fetch { ""title"": $title, ""release_date"": $release_date };
  $release_date >= 2010-01-01;",Missing date filter for after 2010
255,What are the first 3 movies with the most characters in their overview?,"MATCH (m:Movie) WHERE m.overview IS NOT NULL RETURN m.title, m.overview ORDER BY size(m.overview) DESC LIMIT 3","match $m isa movie; $m has overview $overview; $m has title $title; sort $overview asc; limit 3; fetch { ""title"": $title, ""overview"": $overview };","Wrong sort - should sort by length desc, not by string asc"
266,Name the top 5 movies with the most budget to revenue ratio.,"MATCH (m:Movie) WHERE m.budget IS NOT NULL AND m.revenue IS NOT NULL RETURN m.title, m.budget, m.revenue, m.budget / m.revenue AS ratio ORDER BY ratio DESC LIMIT 5","match $m isa movie; $m has budget $budget; $m has revenue $revenue; $m has title $title; limit 5; fetch { ""title"": $title, ""budget"": $budget, ""ratio"": $revenue };",Missing ratio calculation and sorting; returns revenue as ratio which is incorrect
269,What are the first 3 movies that are not part of any collection?,MATCH (m:Movie) WHERE NOT EXISTS {(m)-[:IN_COLLECTION]->(:Collection)} RETURN m.title LIMIT 3,"match $m isa movie; $m has title $title; limit 3; fetch { ""title"": $title };",Missing NOT EXISTS filter for collection
271,Which 3 movies have the most revenue among those released in the 1990s?,"MATCH (m:Movie) WHERE m.release_date >= date('1990-01-01') AND m.release_date < date('2000-01-01') AND m.revenue IS NOT NULL RETURN m.title, m.revenue ORDER BY m.revenue DESC LIMIT 3","match $m isa movie; $m has release_date $release_date; $m has revenue $revenue; $m has title $title; sort $revenue desc; limit 3; fetch { ""title"": $title, ""revenue"": $revenue };
  $release_date <= 2000-01-01;
  $release_date >= 1990-01-01;",Missing date range filter for 1990s
272,Name the top 5 movies with a tagline containing the word 'love'.,MATCH (m:Movie) WHERE toLower(m.tagline) CONTAINS 'love' RETURN m.title ORDER BY m.popularity DESC LIMIT 5,"match $m isa movie; $m has tagline $tagline; $m has title $title; $m has popularity $popularity; sort $popularity desc; limit 5; fetch { ""title"": $title };",Missing CONTAINS filter for 'love'
276,What are the first 3 languages spoken in movies with a budget over $50 million?,MATCH (m:Movie)-[:SPOKEN_IN_LANGUAGE]->(l:Language) WHERE m.budget > 50000000 RETURN l.name AS language ORDER BY language LIMIT 3,"match $m isa movie; $l isa language; $rel0 (media: $m, language: $l) isa spoken_in_language; $m has budget $budget_m; $l has language_name $language_name_l; $budget_m > 50000000; limit 3; fetch { ""language"": $language_name_l };",Missing sort by language name
286,Name the top 5 adult videos that were produced in Italy.,MATCH (a:Adult)-[:PRODUCED_IN_COUNTRY]->(:Country {name: 'Italy'}) RETURN a.title ORDER BY a.popularity DESC LIMIT 5,"match $a isa adult; $country isa country, has country_name 'Italy'; (media: $a, country: $country) isa produced_in_country; $a has title $title; $a has popularity $popularity; sort $popularity desc; limit 5; fetch { ""title"": $title };",Missing relation to filter by country 'Italy'
287,What are the first 3 adult videos not produced in any country listed?,MATCH (a:Adult) WHERE NOT EXISTS { (a)-[:PRODUCED_IN_COUNTRY]->(:Country) } RETURN a.title LIMIT 3,"match $a isa adult; $a has title $title; limit 3; fetch { ""title"": $title };",Missing NOT EXISTS filter for country
