original_index,question,cypher,error
380,Which 3 organizations have the most negative sentiment in recent articles?,"MATCH (a:Article)-[:MENTIONS]->(o:Organization)
WITH o, a
ORDER BY a.date DESC
WITH o, COLLECT(a)[..3] AS recent_articles
UNWIND recent_articles AS ra
WITH o, AVG(ra.sentiment) AS avg_sentiment
ORDER BY avg_sentiment ASC
LIMIT 3
RETURN o.name AS organization, avg_sentiment","Unsupported: COLLECT()[..N] array slicing. Cypher takes top-3 most recent articles per organization via COLLECT + array slice, then averages sentiment. TypeQL has no per-group top-N or array slicing capability."
410,List 3 organizations that have their headquarters in a city that is also a capital.,"MATCH (org:Organization)-[:IN_CITY]->(city:City)-[:IN_COUNTRY]->(country:Country)
WHERE city.name = country.capital
RETURN org.name
LIMIT 3",Schema mismatch: Cypher references country.capital but the TypeQL schema has no capital attribute on country entity. Cannot faithfully convert.
484,What are the names of the organizations where the CEOs have the same last name?,"MATCH (ceo1:Person)-[:HAS_CEO]-(org1:Organization),
      (ceo2:Person)-[:HAS_CEO]-(org2:Organization)
WHERE ceo1.name <> ceo2.name AND split(ceo1.name, "" "")[-1] = split(ceo2.name, "" "")[-1]
RETURN DISTINCT org1.name AS Organization1, org2.name AS Organization2",Unsupported: split() function and array indexing for extracting last name from full name
593,Name the organizations that have changed their CEO in the past year.,"MATCH (o:Organization)-[:HAS_CEO]->(p:Person)
WHERE datetime().year - 1 <= datetime(p.startDate).year
RETURN o.name AS organizationName",Unsupported: date arithmetic (datetime().year - 1) not available in TypeQL
598,Which organizations have a CEO who is also an investor in other organizations?,"MATCH (ceo:Person)-[:HAS_CEO]->(org:Organization),
      (ceo)-[:HAS_INVESTOR]->(otherOrg:Organization)
RETURN org.name AS Organization, ceo.name AS CEO, collect(otherOrg.name) AS InvestedOrganizations",collect() function not supported in TypeQL
611,What are the names of organizations that have been competitors for more than 10 years?,"MATCH (o1:Organization)-[r:HAS_COMPETITOR]->(o2:Organization)
WHERE r.since <= date().year - 10
RETURN o1.name AS Organization1, o2.name AS Organization2","Schema mismatch: competes_with relation has no since/start-date attribute in TypeQL schema. Also, date arithmetic (date().year - 10) is unsupported in TypeQL."
637,Name the top 3 organizations with CEOs who have been in their position for over a decade.,"MATCH (ceo:Person)<-[:HAS_CEO]-(org:Organization)
WHERE datetime().year - datetime(ceo.startDate).year > 10
RETURN org.name AS organization, ceo.name AS ceo_name
ORDER BY datetime().year - datetime(ceo.startDate).year DESC
LIMIT 3",Date arithmetic not supported in TypeQL (cannot calculate years from start-date to current date)
662,Which 3 organizations have the most complex supply chains according to the database?,"MATCH (o:Organization)-[:HAS_SUPPLIER*]->(s:Organization)
WITH o, COUNT(DISTINCT s) AS supplierCount
RETURN o.name AS organization, supplierCount
ORDER BY supplierCount DESC
LIMIT 3",Variable-length path traversal (transitive closure) not supported in TypeQL. Cypher uses [:HAS_SUPPLIER*] to match arbitrary-depth paths.
682,Which organizations have their headquarters in a city that is also the country's capital?,"MATCH (org:Organization)-[:IN_CITY]->(city:City)-[:IN_COUNTRY]->(country:Country)
WHERE city.name = country.capital
RETURN org.name AS OrganizationName, city.name AS CityName, country.name AS CountryName",Schema mismatch: Cypher references country.capital but country entity has no capital attribute in schema
721,Which organizations have a female CEO and are in the healthcare industry category?,"MATCH (org:Organization)-[:HAS_CEO]->(ceo:Person),
      (org)-[:HAS_CATEGORY]->(category:IndustryCategory)
WHERE category.name = ""Healthcare"" AND ceo.gender = ""Female""
RETURN org.name AS OrganizationName, ceo.name AS CEOName",Schema mismatch: person entity has no gender attribute in TypeQL schema
723,Which CEOs have led an organization for more than 10 years?,"MATCH (ceo:Person)<-[:HAS_CEO]-(org:Organization)
WHERE datetime().year - datetime(org.startDate).year > 10
RETURN ceo.name AS CEOName, org.name AS OrganizationName",Date arithmetic (datetime().year - datetime(x).year) is not supported in TypeQL
890,List the top 3 organizations that have a CEO and are mentioned in the latest articles.,"MATCH (o:Organization)-[:HAS_CEO]->(ceo:Person)
MATCH (a:Article)-[:MENTIONS]->(o)
WITH o, a
ORDER BY a.date DESC
WITH o, collect(a)[0] AS latest_article
RETURN o.name AS organization, latest_article.title AS latest_article_title, latest_article.date AS latest_article_date
ORDER BY latest_article_date DESC
LIMIT 3",Unsupported: collect()[0] array indexing to get first element per group. TypeQL does not support array indexing operations.
905,Who are the first 3 investors in 'Accenture' and what other organizations do they invest in?,"MATCH (org:Organization {name: ""Accenture""})<-[:HAS_INVESTOR]-(investor)
WITH investor
ORDER BY investor.id
LIMIT 3
MATCH (investor)-[:HAS_INVESTOR]->(otherOrg:Organization)
RETURN investor.name AS InvestorName, collect(otherOrg.name) AS OtherOrganizations",Unsupported: WITH...LIMIT (intermediate result limiting) followed by further MATCH - TypeQL does not support correlated subquery/lateral join patterns where LIMIT applies to intermediate results before expansion
929,Which organizations are headquartered in a city that is not the capital of its country?,"MATCH (org:Organization)-[:IN_CITY]->(city:City)-[:IN_COUNTRY]->(country:Country)
WHERE NOT EXISTS {
    MATCH (capitalCity:City)-[:IN_COUNTRY {isCapital: true}]->(country)
    WHERE city = capitalCity
}
RETURN org.name AS organizationName, city.name AS cityName, country.name AS countryName",Schema mismatch: TypeQL schema has no isCapital attribute or equivalent to distinguish capital cities from non-capital cities. The Cypher query relies on IN_COUNTRY {isCapital: true} which has no TypeQL equivalent.
944,Which organizations are based in a country other than their CEO's nationality?,"MATCH (org:Organization)-[:HAS_CEO]->(ceo:Person),
      (org)-[:IN_CITY]->(city:City)-[:IN_COUNTRY]->(orgCountry:Country),
      (ceo)-[:HAS_NATIONALITY]->(ceoCountry:Country)
WHERE orgCountry.id <> ceoCountry.id
RETURN org.name AS Organization, orgCountry.name AS OrganizationCountry, ceo.name AS CEO, ceoCountry.name AS CEOCountry",Schema missing HAS_NATIONALITY relation - no way to represent person nationality in TypeQL schema
